,bower,kde200
X: 2016-07-01 00:00:00~2016-08-29 23:59:59 -> Y: 2016-08-30 00:00:00~2016-09-05 23:59:59,"[2.0, 0.0, 0.0, 6.0, 1.0, 1.3476267496898524, 0.0, 0.18067655734252186, 0.0, 1.0, 0.0, 0.0, 2.0, 0.7082240790239303, 0.0, 0.0, 0.0, 1.547937396848881, 5.54488588871905, 1.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 4.0, 2.6523732503101476, 0.0, 2.0, 1.0, 0.0, 4.0, 0.45206260315111896, 1.819323442657478, 0.0, 2.0, 2.0, 0.0, 1.0, 0.9679860919443104, 3.0, 0.0, 2.0, 3.0, 6.032013908055689, 0.0, 4.0, 0.0, 2.0, 0.0, 3.0, 4.7342671353521295, 7.0]","[2.0, 0.0, 2.0, 6.0, 1.0, 1.3476267496898524, 0.0, 0.18067655734252186, 0.0, 2.0, 0.0, 0.0, 3.0, 0.7082240790239303, 0.0, 0.0, 0.0, 1.0, 4.54488588871905, 1.0, 2.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 4.0, 2.6523732503101476, 0.0, 2.0, 1.0, 0.0, 4.0, 0.0, 0.8193234426574781, 0.0, 2.0, 2.0, 0.0, 2.0, 0.9679860919443104, 3.0, 0.0, 0.0, 2.0, 7.032013908055689, 0.0, 4.0, 0.0, 2.0, 0.0, 3.0, 4.7342671353521295, 7.0]"
X: 2016-07-02 00:00:00~2016-08-30 23:59:59 -> Y: 2016-08-31 00:00:00~2016-09-06 23:59:59,"[2.0, 0.0, 1.0, 5.0, 1.0, 2.1959838780271586, 0.0, 0.18067655734252186, 0.0, 1.0, 0.0, 0.0, 2.0, 1.7082240790239303, 0.0, 0.0, 0.0, 1.547937396848881, 3.0, 1.0, 1.0, 0.0, 1.0, 0.1282485424927164, 1.0, 1.0, 0.0, 2.0, 2.6757675794801252, 0.0, 2.0, 1.0, 0.0, 3.0, 0.45206260315111896, 1.819323442657478, 0.0, 2.0, 1.0, 0.0, 4.0, 0.9679860919443104, 1.0, 1.0, 1.0, 2.0, 5.032013908055689, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 3.29177592097607, 8.0]","[2.0, 0.0, 3.0, 5.0, 1.0, 2.1959838780271586, 0.0, 0.18067655734252186, 0.0, 1.0, 0.0, 0.0, 3.0, 1.7082240790239303, 0.0, 0.0, 0.0, 1.0, 3.0, 1.0, 2.0, 0.0, 2.0, 0.1282485424927164, 0.0, 1.0, 0.0, 2.0, 2.6757675794801252, 0.0, 2.0, 1.0, 0.0, 3.0, 0.0, 1.819323442657478, 0.0, 2.0, 1.0, 0.0, 4.0, 0.9679860919443104, 2.0, 1.0, 1.0, 2.0, 6.032013908055689, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 3.29177592097607, 8.0]"
X: 2016-07-03 00:00:00~2016-08-31 23:59:59 -> Y: 2016-09-01 00:00:00~2016-09-07 23:59:59,"[2.0, 0.0, 2.0, 6.0, 1.0, 2.4646174951489868, 0.0, 0.18067655734252186, 0.0, 0.0, 0.0, 0.0, 1.0, 2.70822407902393, 0.0, 0.0, 0.0, 2.547937396848881, 2.0, 1.0, 0.0, 0.0, 2.0, 0.1282485424927164, 1.0, 1.0, 0.0, 2.0, 3.407133962358297, 0.0, 3.0, 2.0, 0.0, 3.0, 0.45206260315111896, 2.819323442657478, 0.0, 2.0, 1.0, 0.0, 3.0, 1.9679860919443104, 2.0, 1.0, 1.0, 1.0, 4.032013908055689, 0.0, 3.0, 0.0, 2.0, 0.0, 3.0, 2.29177592097607, 8.0]","[2.0, 0.0, 3.0, 6.0, 1.0, 2.4646174951489868, 0.0, 0.18067655734252186, 0.0, 0.0, 0.0, 0.0, 1.0, 2.70822407902393, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, 0.0, 3.0, 0.1282485424927164, 0.0, 1.0, 0.0, 2.0, 3.407133962358297, 0.0, 3.0, 1.0, 0.0, 3.0, 0.0, 2.819323442657478, 0.0, 2.0, 1.0, 0.0, 3.0, 1.9679860919443104, 2.0, 1.0, 1.0, 0.0, 5.032013908055689, 0.0, 3.0, 0.0, 2.0, 0.0, 3.0, 2.29177592097607, 8.0]"
X: 2016-07-04 00:00:00~2016-09-01 23:59:59 -> Y: 2016-09-02 00:00:00~2016-09-08 23:59:59,"[0.0, 0.0, 2.0, 5.0, 1.0, 2.4646174951489868, 0.0, 0.18067655734252186, 0.0, 0.0, 0.0, 0.0, 1.0, 3.5878532449275697, 0.0, 0.0, 0.0, 2.547937396848881, 2.0, 1.0, 0.0, 0.0, 3.0, 0.1282485424927164, 1.0, 1.1932389995926012, 0.0, 1.1203708340963603, 2.407133962358297, 0.0, 5.0, 1.0, 0.0, 4.0, 0.45206260315111896, 2.819323442657478, 0.0, 1.0, 1.8067610004073988, 0.0, 3.0, 1.9679860919443104, 1.0, 1.0, 0.0, 1.0, 4.032013908055689, 0.0, 4.0, 1.0, 1.0, 0.0, 3.0, 1.2917759209760697, 7.0]","[0.0, 0.0, 1.0, 6.0, 1.0, 2.4646174951489868, 0.0, 0.18067655734252186, 0.0, 0.0, 0.0, 0.0, 1.0, 3.244509843608058, 0.0, 0.0, 0.0, 2.0, 2.0, 1.0, 1.0, 0.0, 4.0, 0.1282485424927164, 0.0, 1.1932389995926012, 0.0, 1.1203708340963603, 2.407133962358297, 0.0, 5.0, 0.0, 0.0, 4.0, 0.0, 2.819323442657478, 0.0, 0.0, 1.8067610004073988, 0.0, 3.0, 1.9679860919443104, 2.0, 1.0, 0.0, 0.0, 5.032013908055689, 0.0, 4.0, 1.0, 1.0, 0.0, 3.0, 1.6351193222955815, 7.0]"
X: 2016-07-05 00:00:00~2016-09-02 23:59:59 -> Y: 2016-09-03 00:00:00~2016-09-09 23:59:59,"[0.0, 0.0, 2.0, 5.0, 0.0, 1.4646174951489868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.8796291659036397, 0.0, 0.0, 1.0, 3.547937396848881, 4.0, 1.0, 1.0, 0.0, 4.0, 0.1282485424927164, 1.0, 0.1932389995926011, 0.0, 1.5582928887358976, 2.407133962358297, 0.0, 4.380899905728104, 1.0, 0.0, 2.0, 0.45206260315111896, 2.0, 0.0, 1.0, 2.425861094679295, 0.0, 3.0, 1.0, 1.0, 1.5620779453604627, 0.0, 1.0, 3.0, 0.0, 4.0, 3.0, 2.0, 0.0, 3.0, 2.0, 8.0]","[0.0, 0.0, 1.0, 6.0, 0.0, 2.4646174951489868, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.536285764584128, 0.0, 0.0, 0.0, 2.0, 4.0, 1.0, 1.0, 0.0, 4.0, 0.1282485424927164, 0.0, 0.1932389995926011, 0.0, 1.1203708340963603, 1.4071339623582972, 0.0, 4.380899905728104, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 2.425861094679295, 0.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 3.0, 0.0, 4.0, 1.0, 2.0, 0.0, 3.0, 2.343343401319512, 9.0]"
X: 2016-07-06 00:00:00~2016-09-03 23:59:59 -> Y: 2016-09-04 00:00:00~2016-09-10 23:59:59,"[2.0, 0.0, 2.0, 3.0, 0.0, 2.1169907454591343, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.8796291659036397, 0.0, 0.0, 1.0, 3.547937396848881, 4.0, 0.0, 1.0, 0.0, 3.0, 0.1282485424927164, 2.0, 0.1932389995926011, 0.0, 2.5582928887358976, 1.7547607120481494, 0.0, 4.380899905728104, 1.0, 0.0, 1.0, 0.45206260315111896, 2.0, 0.0, 1.0, 7.425861094679294, 0.0, 4.0, 1.0, 3.0, 1.5620779453604627, 0.0, 0.0, 4.0, 0.0, 4.0, 2.0, 1.0, 0.0, 3.0, 3.0, 8.0]","[2.0, 0.0, 1.0, 3.0, 0.0, 2.1169907454591343, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.536285764584128, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 1.0, 0.0, 4.0, 0.1282485424927164, 0.0, 0.1932389995926011, 0.0, 2.1203708340963603, 0.7547607120481495, 1.0, 4.380899905728104, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 7.425861094679294, 0.0, 4.0, 1.0, 2.0, 1.0, 0.0, 0.0, 4.0, 0.0, 4.0, 1.0, 1.0, 0.0, 3.0, 3.343343401319512, 9.0]"
X: 2016-07-07 00:00:00~2016-09-04 23:59:59 -> Y: 2016-09-05 00:00:00~2016-09-11 23:59:59,"[2.3271408217504237, 0.6728591782495762, 2.0, 3.0, 0.0, 3.1169907454591343, 1.0, 0.0, 0.0, 1.0, 0.0, 0.2329051243864622, 2.0, 1.8796291659036397, 0.0, 0.0, 1.766088589325181, 2.0, 4.0, 0.0, 0.0, 0.0, 3.0, 0.1282485424927164, 2.0, 0.1932389995926011, 0.0, 1.5582928887358976, 1.7547607120481494, 0.0, 6.046618915178069, 1.0, 0.0, 1.0, 0.0, 4.0, 0.0, 0.2479998781996132, 7.512142207029716, 0.0, 4.0, 1.0, 1.0, 1.5620779453604627, 0.0, 1.0, 2.0, 0.0, 2.0, 2.0, 2.0, 0.0, 3.0, 3.0, 7.0]","[2.3271408217504237, 0.6728591782495762, 0.0, 3.0, 0.0, 2.1169907454591343, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.536285764584128, 0.0, 0.0, 0.0, 1.0, 4.0, 0.0, 0.0, 0.0, 3.0, 0.1282485424927164, 0.0, 0.1932389995926011, 0.0, 1.1203708340963603, 0.7547607120481495, 1.0, 6.046618915178069, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.2479998781996132, 7.512142207029716, 0.0, 4.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 0.0, 2.0, 1.0, 2.0, 0.0, 3.0, 3.343343401319512, 8.0]"
X: 2016-07-08 00:00:00~2016-09-05 23:59:59 -> Y: 2016-09-06 00:00:00~2016-09-12 23:59:59,"[2.3271408217504237, 0.6728591782495762, 3.0, 3.0, 0.0, 3.1169907454591343, 1.0, 0.0, 0.0, 2.0, 0.0, 0.2329051243864622, 1.0, 1.8796291659036397, 0.0, 0.0, 1.766088589325181, 2.0, 6.0, 0.0, 0.0, 0.0, 6.0, 0.1282485424927164, 2.0, 0.0, 0.0, 3.5582928887358976, 0.7547607120481495, 0.0, 6.046618915178069, 1.0, 1.0, 1.0, 0.0, 7.0, 0.0, 0.2479998781996132, 8.705381206622318, 0.0, 5.0, 1.0, 3.0, 1.5620779453604627, 2.0, 1.0, 2.0, 0.0, 3.0, 2.0, 2.0, 0.0, 3.0, 5.0, 7.0]","[2.3271408217504237, 0.6728591782495762, 1.0, 3.0, 0.0, 1.1169907454591343, 1.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.8796291659036397, 0.0, 0.0, 0.0, 1.0, 6.0, 0.0, 0.0, 0.0, 6.0, 0.1282485424927164, 1.0, 0.1932389995926011, 0.0, 3.1203708340963603, 0.7547607120481495, 1.0, 6.046618915178069, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.2479998781996132, 9.512142207029717, 0.0, 5.0, 1.0, 2.0, 1.0, 2.0, 0.0, 2.0, 0.0, 3.0, 1.0, 2.0, 0.0, 3.0, 5.0, 8.0]"
X: 2016-07-09 00:00:00~2016-09-06 23:59:59 -> Y: 2016-09-07 00:00:00~2016-09-13 23:59:59,"[2.3271408217504237, 0.6728591782495762, 3.0, 4.0, 0.0, 2.268633617121828, 1.0, 0.0, 0.0, 3.0, 0.0, 0.2329051243864622, 1.0, 0.8796291659036397, 0.0, 0.0, 1.766088589325181, 2.0, 7.0, 0.0, 0.0, 0.0, 6.0, 0.0, 2.0, 0.0, 0.0, 3.5582928887358976, 0.7313663828781719, 0.0, 6.046618915178069, 1.0, 1.0, 1.0, 0.0, 7.0, 0.0, 0.2479998781996132, 9.705381206622318, 0.0, 4.0, 1.0, 2.0, 0.5620779453604627, 1.0, 1.0, 3.0, 0.0, 3.0, 2.0, 2.0, 0.0, 2.0, 4.0, 7.0]","[2.3271408217504237, 0.6728591782495762, 1.0, 4.0, 0.0, 1.2686336171218282, 1.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.8796291659036397, 0.0, 0.0, 0.0, 1.0, 7.0, 0.0, 0.0, 0.0, 6.0, 0.0, 1.0, 0.1932389995926011, 0.0, 3.1203708340963603, 0.7313663828781719, 1.0, 6.046618915178069, 0.0, 2.0, 1.0, 0.0, 3.0, 0.0, 0.2479998781996132, 10.512142207029717, 0.0, 3.0, 1.0, 2.0, 0.0, 2.0, 0.0, 4.0, 0.0, 3.0, 1.0, 2.0, 0.0, 2.0, 4.0, 7.0]"
X: 2016-07-10 00:00:00~2016-09-07 23:59:59 -> Y: 2016-09-08 00:00:00~2016-09-14 23:59:59,"[1.3271408217504237, 0.6728591782495762, 2.0, 3.0, 0.0, 2.0, 3.0, 0.0, 0.0, 3.0, 0.0, 0.2329051243864622, 1.0, 1.8796291659036397, 0.0, 0.0, 1.766088589325181, 1.0, 6.876857446751291, 0.0, 0.0, 0.0, 5.0, 0.0, 1.0, 1.0, 0.0, 3.1203708340963603, 0.0, 0.0, 6.046618915178069, 1.1231425532487094, 0.0, 1.0, 0.0, 6.0, 0.0, 0.2479998781996132, 9.705381206622318, 0.0, 4.0, 0.0, 2.0, 0.0, 1.0, 0.0, 4.0, 0.0, 3.0, 2.0, 2.0, 0.0, 1.0, 4.0, 8.0]","[2.3271408217504237, 0.6728591782495762, 1.0, 3.0, 0.0, 1.0, 4.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.8796291659036397, 0.0, 0.0, 0.0, 0.0, 6.876857446751291, 0.0, 0.0, 0.0, 5.0, 0.0, 1.0, 1.1932389995926012, 0.0, 3.1203708340963603, 0.0, 1.0, 6.046618915178069, 0.1231425532487094, 2.0, 1.0, 0.0, 2.0, 0.0, 0.2479998781996132, 10.512142207029717, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 0.0, 5.0, 0.0, 3.0, 1.0, 2.0, 0.0, 1.0, 4.0, 8.0]"
X: 2016-07-11 00:00:00~2016-09-08 23:59:59 -> Y: 2016-09-09 00:00:00~2016-09-15 23:59:59,"[2.261052578775644, 0.6728591782495762, 2.0, 2.0, 0.0, 2.0, 3.0, 0.0, 0.0, 3.0, 0.0, 0.2329051243864622, 1.0, 1.0, 0.06608824297477968, 0.0, 2.766088589325181, 1.0, 6.876857446751291, 0.0, 0.0, 0.0, 4.0, 1.0, 1.0, 1.0, 0.0, 4.0, 0.0, 0.0, 4.04661891517807, 1.1231425532487094, 1.0, 1.0, 0.0, 6.0, 0.0, 0.2479998781996132, 10.705381206622318, 0.0, 3.0, 0.0, 4.0, 0.0, 1.0, 1.0, 4.0, 0.0, 2.0, 1.0, 2.0, 0.0, 2.0, 5.0, 8.0]","[3.261052578775644, 0.6728591782495762, 1.0, 2.0, 0.0, 0.0, 4.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.06608824297477968, 0.0, 1.0, 0.0, 6.876857446751291, 0.0, 0.0, 0.0, 4.0, 0.0, 1.0, 1.0, 0.0, 4.0, 0.0, 1.0, 4.04661891517807, 0.1231425532487094, 2.0, 0.0, 0.0, 2.0, 0.0, 0.2479998781996132, 10.705381206622318, 0.0, 2.0, 0.0, 4.0, 0.0, 2.0, 1.0, 5.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 5.0, 8.0]"
X: 2016-07-12 00:00:00~2016-09-09 23:59:59 -> Y: 2016-09-10 00:00:00~2016-09-16 23:59:59,"[2.261052578775644, 0.6728591782495762, 2.0, 3.0, 0.0, 2.7863633665528122, 3.0, 0.0, 0.0, 4.0, 0.0, 0.2329051243864622, 1.0, 1.0, 0.06608824297477968, 0.0, 1.766088589325181, 0.0, 5.876857446751291, 0.0, 0.0, 0.0, 4.0, 1.2136366334471878, 1.0, 1.0, 0.0, 5.0, 1.0, 0.0, 4.665719009449965, 1.3379483210159864, 0.980988984949861, 1.0, 0.0, 5.0, 0.0, 0.2479998781996132, 10.086281112350422, 1.0, 3.0, 1.0305537673678975, 5.0, 1.0, 1.0, 3.7851942322327234, 5.0, 0.0, 2.9694462326321025, 2.0, 1.0, 0.0, 2.0, 4.0, 5.019666802184765]","[3.261052578775644, 0.6728591782495762, 2.0, 3.0, 0.0, 0.0, 4.0, 0.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 0.06608824297477968, 0.0, 1.0, 0.0, 5.876857446751291, 0.0, 0.0, 0.0, 4.0, 0.0, 1.0, 1.0, 0.0, 5.0, 0.0, 1.0, 4.665719009449965, 0.3379483210159863, 2.980988984949861, 0.0, 0.0, 2.0, 0.0, 0.2479998781996132, 10.086281112350422, 1.0, 2.0, 0.030553767367897482, 5.0, 1.0, 2.0, 2.7851942322327234, 6.0, 0.0, 2.9694462326321025, 0.0, 1.0, 0.0, 2.0, 4.0, 5.019666802184765]"
X: 2016-07-13 00:00:00~2016-09-10 23:59:59 -> Y: 2016-09-11 00:00:00~2016-09-17 23:59:59,"[1.2610525787756441, 0.6728591782495762, 2.0, 3.0, 0.0, 0.7863633665528122, 2.0, 0.0, 0.0, 3.0, 0.0, 0.2329051243864622, 0.0, 1.0, 0.06608824297477968, 0.0, 1.766088589325181, 0.0, 7.876857446751291, 0.0, 0.0, 0.0, 4.0, 1.2136366334471878, 1.0, 1.0, 0.0, 5.0, 1.0, 0.0, 4.665719009449965, 0.3379483210159863, 1.980988984949861, 2.0, 0.0, 5.0, 0.0, 0.2479998781996132, 5.086281112350422, 2.0, 1.0, 0.030553767367897482, 5.0, 1.0, 1.0, 3.7851942322327234, 4.0, 0.0, 2.9694462326321025, 2.0, 2.0, 0.0, 2.0, 4.0, 4.019666802184765]","[1.2610525787756441, 0.6728591782495762, 2.0, 3.0, 0.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.06608824297477968, 1.0, 1.0, 0.0, 7.876857446751291, 0.0, 0.0, 0.0, 4.0, 0.0, 1.0, 1.0, 0.0, 4.0, 0.0, 0.0, 4.665719009449965, 0.3379483210159863, 1.980988984949861, 1.0, 0.0, 2.0, 0.0, 0.2479998781996132, 5.086281112350422, 1.0, 1.0, 0.030553767367897482, 5.0, 1.0, 2.0, 2.7851942322327234, 5.0, 0.0, 2.9694462326321025, 0.0, 2.0, 0.0, 2.0, 4.0, 4.019666802184765]"
X: 2016-07-14 00:00:00~2016-09-11 23:59:59 -> Y: 2016-09-12 00:00:00~2016-09-18 23:59:59,"[0.9339117570252204, 0.0, 2.0, 1.0, 0.0, 0.7863633665528122, 2.0, 0.0, 0.0, 3.0, 1.0, 0.0, 1.0, 1.0, 0.06608824297477968, 0.0, 1.0, 0.0, 7.876857446751291, 0.0, 0.0, 0.0, 4.0, 1.2136366334471878, 0.0, 1.0, 0.0, 4.0, 1.0, 0.0, 4.0, 0.3379483210159863, 1.980988984949861, 2.0, 0.0, 6.0, 0.0, 0.0, 5.0, 3.0, 1.0, 0.030553767367897482, 5.0, 1.0, 1.0, 2.7851942322327234, 5.0, 0.0, 2.9694462326321025, 2.0, 1.0622987960469576, 0.0, 2.0, 5.0, 6.957368006137807]","[0.9339117570252204, 0.0, 2.0, 3.0, 0.0, 0.0, 3.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 0.06608824297477968, 1.0, 1.0, 0.0, 7.876857446751291, 0.0, 0.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 4.0, 0.0, 0.0, 4.0, 0.3379483210159863, 1.980988984949861, 1.0, 0.0, 4.0, 0.0, 0.0, 5.0, 2.0, 1.0, 0.030553767367897482, 5.0, 1.0, 2.0, 2.7851942322327234, 6.0, 0.0, 2.9694462326321025, 0.0, 2.062298796046958, 0.0, 2.0, 5.0, 6.957368006137807]"
X: 2016-07-15 00:00:00~2016-09-12 23:59:59 -> Y: 2016-09-13 00:00:00~2016-09-19 23:59:59,"[0.9339117570252204, 0.0, 1.0, 1.0, 0.0, 0.7863633665528122, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.06608824297477968, 0.0, 1.0, 0.0, 4.876857446751291, 0.0, 1.0, 0.0, 2.0, 1.2136366334471878, 0.0, 1.0, 0.0, 3.0, 1.0, 0.0, 3.0, 1.3379483210159864, 1.980988984949861, 2.0, 0.0, 3.0, 1.0, 0.0, 5.0, 3.0, 0.0, 0.030553767367897482, 4.0, 1.0, 0.0, 3.7851942322327234, 6.0, 0.0, 0.9694462326321024, 2.0, 3.062298796046958, 1.0, 2.0, 3.0, 4.957368006137807]","[0.9339117570252204, 0.0, 2.0, 3.0, 0.0, 0.0, 4.0, 0.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.06608824297477968, 0.0, 1.0, 0.0, 4.876857446751291, 0.0, 1.2481122706228376, 0.0, 2.751887729377162, 0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 3.0, 1.3379483210159864, 0.980988984949861, 2.0, 0.0, 3.0, 1.0, 0.0, 5.0, 2.0, 0.0, 0.030553767367897482, 4.0, 1.0, 0.0, 2.7851942322327234, 7.0, 0.0, 0.9694462326321024, 0.0, 3.062298796046958, 0.0, 2.0, 3.0, 4.957368006137807]"
X: 2016-07-16 00:00:00~2016-09-13 23:59:59 -> Y: 2016-09-14 00:00:00~2016-09-20 23:59:59,"[0.9339117570252204, 0.0, 2.0, 0.0, 0.0, 0.7863633665528122, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.06608824297477968, 0.0, 0.0, 0.0, 3.876857446751291, 0.0, 1.0, 0.0, 3.0, 1.2136366334471878, 0.0, 2.0, 0.0, 3.0, 0.0, 0.0, 4.510343391749279, 2.3379483210159866, 1.980988984949861, 3.0, 0.0, 1.0, 1.0, 0.0, 7.489656608250721, 4.0, 0.0, 0.030553767367897482, 3.0, 1.0, 0.0, 3.7851942322327234, 5.0, 0.0, 0.9694462326321024, 1.0, 3.062298796046958, 1.0, 2.0, 7.0, 3.9573680061378074]","[0.9339117570252204, 0.0, 3.0, 2.0, 0.0, 0.7863633665528122, 4.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.06608824297477968, 0.0, 1.0, 0.0, 3.876857446751291, 0.0, 1.2481122706228376, 0.0, 3.751887729377162, 0.21363663344718772, 0.0, 2.0, 0.0, 3.0, 0.0, 0.0, 4.510343391749279, 2.3379483210159866, 0.980988984949861, 3.0, 0.0, 1.0, 1.0, 0.0, 7.489656608250721, 3.0, 0.0, 0.030553767367897482, 4.0, 1.0, 0.0, 2.7851942322327234, 5.0, 0.0, 0.9694462326321024, 0.0, 3.062298796046958, 0.0, 2.0, 7.0, 3.9573680061378074]"
X: 2016-07-17 00:00:00~2016-09-14 23:59:59 -> Y: 2016-09-15 00:00:00~2016-09-21 23:59:59,"[1.9339117570252204, 0.0, 2.0, 0.0, 2.0, 0.7863633665528122, 1.0, 0.0, 0.0, 0.0, 0.4897861254175872, 0.0, 2.0, 1.0, 0.06608824297477968, 0.0, 1.0, 0.5102138745824127, 4.0, 0.0, 1.0, 0.0, 3.0, 1.2136366334471878, 1.0, 1.0, 0.0, 3.0, 0.0, 0.0, 3.510343391749279, 2.0, 1.980988984949861, 3.0, 0.0, 1.0, 1.0, 0.0, 8.489656608250721, 4.0, 0.0, 0.030553767367897482, 3.0, 1.0, 0.0, 2.0, 5.175504180214771, 0.0, 1.7939420524173315, 1.0, 3.062298796046958, 1.0, 2.0, 7.0, 2.9573680061378074]","[1.9339117570252204, 0.0, 4.0, 3.0, 2.0, 0.7863633665528122, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.06608824297477968, 0.0, 1.0, 0.0, 4.0, 0.0, 1.2481122706228376, 0.0, 3.751887729377162, 0.21363663344718772, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 3.510343391749279, 2.214805767767277, 0.980988984949861, 3.0, 0.0, 1.0, 1.0, 0.0, 8.489656608250721, 3.0, 0.0, 0.030553767367897482, 4.0, 1.0, 0.0, 2.7851942322327234, 5.175504180214771, 0.0, 1.7939420524173315, 0.0, 3.062298796046958, 0.0, 2.0, 7.0, 2.9573680061378074]"
X: 2016-07-18 00:00:00~2016-09-15 23:59:59 -> Y: 2016-09-16 00:00:00~2016-09-22 23:59:59,"[1.0, 0.0, 1.0, 0.0, 1.0, 1.7618254570083072, 1.0, 0.0, 0.0, 0.0, 0.4897861254175872, 0.0, 2.0, 1.0, 0.0, 0.0, 3.0, 1.0306870519524605, 5.0, 0.0, 1.0, 0.0, 4.0, 0.21363663344718772, 1.0, 1.0, 0.0, 2.542512546987472, 0.02453790954450497, 0.0, 4.510343391749279, 2.0, 0.980988984949861, 3.0, 0.0, 1.0, 1.0, 0.0, 8.489656608250721, 4.0, 0.4795268226299522, 1.0305537673678975, 2.0, 1.0, 0.0, 2.0, 6.175504180214771, 0.0, 3.2514295054298596, 0.0, 4.062298796046957, 2.0, 0.0, 6.0, 3.9573680061378074]","[2.0, 0.0, 4.0, 3.0, 2.0, 0.7863633665528122, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 3.0, 0.0, 5.932729195429977, 0.0, 1.2481122706228376, 0.0, 5.751887729377162, 0.21363663344718772, 0.0, 1.0, 0.0, 2.542512546987472, 0.0, 0.0, 4.510343391749279, 2.214805767767277, 0.980988984949861, 3.0, 0.0, 1.0, 1.0, 0.0, 8.489656608250721, 3.0, 0.0, 1.0305537673678975, 2.0, 1.0, 0.0, 1.7851942322327232, 7.175504180214771, 0.06727080457002288, 3.2514295054298596, 0.0, 4.062298796046957, 0.0, 1.0, 6.0, 3.9573680061378074]"
X: 2016-07-19 00:00:00~2016-09-16 23:59:59 -> Y: 2016-09-17 00:00:00~2016-09-23 23:59:59,"[1.0, 0.0, 0.0, 0.0, 1.0, 1.7618254570083072, 1.0, 0.0, 0.0, 0.0, 0.4897861254175872, 0.0, 2.0, 1.0, 0.0, 0.0, 5.0, 1.0306870519524605, 4.0, 0.0, 1.0, 0.0, 3.0, 0.21363663344718772, 2.0, 1.436749707330067, 0.0, 1.8674955878452857, 0.02453790954450497, 0.0, 3.510343391749279, 2.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 11.052906900920654, 2.0, 0.4795268226299522, 2.0, 3.177137566548266, 1.6750169591421866, 0.0, 1.0, 9.998366613666505, 1.0, 2.281983272797757, 0.0, 5.062298796046957, 2.0, 0.0, 6.0, 4.937701203953043]","[2.0, 0.0, 3.0, 2.0, 3.0, 0.7863633665528122, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 3.0, 0.0, 4.0, 0.0, 1.2481122706228376, 0.0, 4.751887729377162, 0.21363663344718772, 0.0, 1.436749707330067, 0.0, 1.8674955878452857, 0.0, 0.0, 3.510343391749279, 2.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 11.052906900920654, 3.0, 0.0, 2.0, 3.177137566548266, 0.6750169591421866, 0.0, 0.0, 10.998366613666505, 1.0, 2.281983272797757, 0.0, 5.062298796046957, 0.0, 1.0, 6.0, 4.937701203953043]"
